,CA,TX,MT,OH,KS
2017-04-18,,589.0,273.0,437.0,484.0
2017-04-16,,657.0,234.0,405.0,513.0
2017-04-13,,805.0,316.0,531.0,542.0
2017-04-14,,888.0,386.0,505.0,699.0
2017-04-15,,586.0,254.0,495.0,579.0
2017-04-19,,676.0,303.0,465.0,526.0
2017-04-20,,664.0,260.0,415.0,594.0
2017-04-21,,730.0,325.0,482.0,674.0
2017-04-22,,570.0,249.0,530.0,570.0
2017-04-23,,680.0,280.0,426.0,673.0
2017-04-24,,645.0,240.0,421.0,505.0
2017-04-25,,565.0,236.0,471.0,501.0
2017-04-26,,618.0,251.0,479.0,527.0
2017-04-29,,595.0,270.0,452.0,419.0
2017-04-27,,589.0,245.0,451.0,560.0
2017-04-28,,701.0,280.0,510.0,742.0
2017-04-30,,709.0,264.0,430.0,3.0
2018-03-11,,972.0,,584.0,664.0
2018-08-31,,969.0,371.0,501.0,1168.0
2018-09-01,,944.0,349.0,519.0,1069.0
2018-09-02,,570.0,357.0,428.0,768.0
2018-09-03,,1019.0,416.0,434.0,1439.0
2018-09-05,,690.0,346.0,449.0,733.0
2018-09-04,,654.0,311.0,465.0,816.0
2018-09-06,,622.0,344.0,478.0,821.0
2018-09-07,,765.0,394.0,435.0,858.0
2018-09-08,,658.0,311.0,529.0,778.0
2018-09-09,,674.0,331.0,342.0,926.0
2018-09-10,,600.0,309.0,415.0,721.0
2018-09-11,,609.0,302.0,431.0,582.0
2018-09-12,,742.0,319.0,446.0,703.0
2018-09-13,,735.0,305.0,472.0,859.0
2018-09-28,,810.0,347.0,519.0,845.0
2018-09-29,,767.0,290.0,607.0,807.0
2018-09-30,,722.0,334.0,421.0,927.0
2018-10-01,,683.0,329.0,469.0,772.0
2018-10-02,,654.0,295.0,426.0,733.0
2018-10-04,,727.0,317.0,498.0,734.0
2018-10-03,,743.0,311.0,491.0,723.0
2018-10-06,,737.0,290.0,609.0,711.0
2018-10-05,,919.0,333.0,424.0,846.0
2018-10-07,,742.0,320.0,444.0,780.0
2018-10-08,,826.0,315.0,513.0,761.0
2018-10-09,,684.0,300.0,489.0,562.0
2018-10-11,,812.0,305.0,447.0,739.0
2018-10-10,,770.0,261.0,437.0,559.0
2018-11-16,,931.0,,458.0,736.0
2018-12-01,,742.0,192.0,587.0,494.0
2018-12-02,,815.0,210.0,407.0,574.0
2018-12-04,,592.0,249.0,426.0,382.0
2018-12-03,,713.0,208.0,427.0,454.0
2018-12-06,,771.0,231.0,383.0,428.0
2018-12-05,,761.0,231.0,470.0,479.0
2016-03-13,,,319.0,465.0,870.0
2016-03-26,,,281.0,455.0,580.0
2016-04-09,,,262.0,463.0,553.0
2016-04-14,,,288.0,429.0,540.0
2016-04-17,,,277.0,441.0,501.0
2016-10-17,,,278.0,420.0,645.0
2017-03-12,,,,489.0,741.0
