,CA,TX,MT,OH,KS
2017-01-16,2505.0,657.0,223.0,372.0,295.0
2017-02-14,1334.0,,204.0,411.0,365.0
2017-02-13,1832.0,655.0,176.0,416.0,416.0
2017-02-12,2049.0,603.0,211.0,347.0,494.0
2017-02-15,1587.0,686.0,233.0,410.0,400.0
2017-02-10,2290.0,660.0,251.0,444.0,480.0
2017-02-09,1527.0,615.0,223.0,358.0,406.0
2017-02-11,1852.0,601.0,196.0,511.0,475.0
2017-02-08,1394.0,612.0,199.0,405.0,382.0
2017-02-20,3067.0,697.0,,433.0,623.0
2017-02-22,1628.0,545.0,,381.0,446.0
2017-02-21,1688.0,626.0,,460.0,449.0
2017-02-16,2010.0,618.0,257.0,401.0,493.0
2017-02-17,2844.0,769.0,262.0,432.0,625.0
2017-02-19,2321.0,680.0,241.0,391.0,533.0
2017-02-18,3095.0,674.0,264.0,537.0,594.0
2017-02-24,2475.0,695.0,,462.0,487.0
2017-02-23,1887.0,624.0,,472.0,459.0
2017-02-26,2424.0,657.0,269.0,368.0,563.0
2017-02-25,2068.0,633.0,,487.0,514.0
2017-02-28,1454.0,584.0,,398.0,397.0
2017-02-27,1739.0,558.0,,435.0,465.0
2017-03-31,3050.0,782.0,304.0,440.0,672.0
2017-03-30,2339.0,655.0,271.0,385.0,589.0
2017-03-28,1775.0,609.0,231.0,380.0,523.0
2017-03-29,1882.0,686.0,262.0,432.0,455.0
2017-03-27,2412.0,661.0,219.0,401.0,537.0
2017-03-26,3142.0,735.0,232.0,326.0,892.0
2017-03-25,2946.0,620.0,258.0,515.0,1101.0
2017-03-16,1960.0,948.0,290.0,449.0,716.0
2017-03-17,2615.0,1088.0,297.0,399.0,839.0
2017-03-19,2898.0,1043.0,325.0,376.0,1056.0
2017-03-18,2547.0,972.0,297.0,476.0,1271.0
2017-03-24,2923.0,795.0,297.0,445.0,337.0
2017-03-23,2245.0,678.0,271.0,406.0,740.0
2017-03-22,1911.0,669.0,270.0,432.0,685.0
2017-03-21,1585.0,610.0,233.0,426.0,556.0
2017-03-20,2208.0,706.0,232.0,405.0,699.0
2017-03-07,1449.0,591.0,215.0,466.0,410.0
2017-03-05,2337.0,678.0,260.0,411.0,571.0
2017-03-06,1801.0,584.0,179.0,447.0,444.0
2017-03-02,1782.0,632.0,272.0,433.0,466.0
2017-03-01,1539.0,635.0,240.0,392.0,493.0
2017-03-04,2064.0,628.0,265.0,561.0,527.0
2017-03-03,2247.0,694.0,301.0,493.0,601.0
2017-03-11,2233.0,1317.0,287.0,535.0,906.0
2017-03-10,2462.0,977.0,224.0,456.0,639.0
2017-03-09,1894.0,689.0,223.0,456.0,517.0
2017-03-08,1565.0,598.0,265.0,404.0,439.0
2017-03-13,1735.0,826.0,260.0,404.0,553.0
2017-03-15,1625.0,933.0,285.0,426.0,614.0
2017-03-14,1613.0,788.0,256.0,418.0,500.0
2017-05-28,2321.0,,292.0,418.0,881.0
2017-05-29,4370.0,,342.0,437.0,1285.0
2017-05-30,2355.0,,297.0,455.0,970.0
2017-05-31,1823.0,,335.0,477.0,807.0
2017-05-25,2479.0,738.0,289.0,524.0,977.0
2017-05-24,1860.0,606.0,319.0,582.0,821.0
2017-05-23,1744.0,599.0,306.0,412.0,654.0
2017-05-26,3600.0,,361.0,529.0,1332.0
2017-05-27,3589.0,,337.0,515.0,1145.0
2017-05-22,2346.0,,320.0,517.0,773.0
2017-05-20,2494.0,,318.0,534.0,773.0
